id,created_at,text
1.23364E+18,2/29/2020 6:10,b'Amit Shah offers prayers at Jagannath temple in Puri https://t.co/eovXdkTxZO'
,,
1.23363E+18,2/29/2020 5:55,"b""India 'observes' as the US, Taliban to sign deal https://t.co/KALfXe3V5a"""
,,
1.23363E+18,2/29/2020 5:30,"b'Morarji Desai always did politics based on discipline, principles: PM Modi https://t.co/0JeDfKpltE'"
,,
1.23362E+18,2/29/2020 5:15,b'Calcutta HC eases foreign passport rule for Indian citizenship https://t.co/Nt1hhKmtcg'
,,
1.23361E+18,2/29/2020 4:10,"b""Protest can't invite penal laws if you are not inciting offence: Ex-HC judge https://t.co/ROLxdwrVc8"""
,,
1.2336E+18,2/29/2020 3:55,b'Gaganyaan: Isro designs new vehicle to test crew escape systems https://t.co/x7fqQeL37h'
,,
1.23359E+18,2/29/2020 3:15,"b""Visit to Senegal salon sealed Ravi Pujari's fate https://t.co/AdkMIIZMpL"""
,,
1.23359E+18,2/29/2020 3:00,b'Google celebrates Leap Day with a doodle https://t.co/Ay0tiZ6fKP'
,,
1.23357E+18,2/29/2020 1:45,b'India foreign secretary visits Afghanistan ahead of US-Taliban deal https://t.co/fcBrrjSthd'
,,
1.23356E+18,2/29/2020 1:00,"b'Truckers, owners pay Rs 48k cr/yr in bribes https://t.co/fbkY2iZyGb'"
,,
1.23355E+18,2/29/2020 0:45,"b'Why no FIR against any BJP neta, asks Congress https://t.co/r0g3HpeeKr'"
,,
1.23355E+18,2/29/2020 0:26,b'Seers and BJP put Ayodhya\xe2\x80\x99s culture on display in Delhi https://t.co/REF7ZID1x1'
,,
1.23355E+18,2/29/2020 0:25,"b'Don\xe2\x80\x99t preach what you don\xe2\x80\x99t practise, BJP tells Congress https://t.co/CwIp4yQCHx'"
,,
1.23355E+18,2/29/2020 0:25,b'Congress netas made false promises to refugees 27 times: Amit Shah https://t.co/GKneQpguq1'
,,
1.23354E+18,2/29/2020 0:00,b'Govt rebuffs plea on Census caste data https://t.co/uJLLtlo0vN'
,,
1.23354E+18,2/28/2020 23:45,b'Rules for govt staff on holding posts in sports bodies eased https://t.co/DFGm04KdF2'
,,
1.23354E+18,2/28/2020 23:45,b'SC: Can Uttarakhand hydel projects be shifted to non-eco fragile zones? https://t.co/tMEI2Djmrr'
,,
1.23353E+18,2/28/2020 23:30,"b'Ex-probe officer, successor spar in court over Asthana case https://t.co/jJc0SRMH1O'"
,,
1.23353E+18,2/28/2020 22:55,"b'Pulwama attack: Man who drove car, bomber to Lethpora held https://t.co/O8Sn1d3MPX'"
,,
1.23352E+18,2/28/2020 22:30,"b'Delhi riots worrying, but not time to seek Amit Shah ouster: Didi https://t.co/5Bkal7RykZ'"
,,
1.23352E+18,2/28/2020 22:15,"b'\xe2\x80\x98After Balakot, Pak will think 100 times before a misadventure\xe2\x80\x99 https://t.co/OfVIEmLD9o'"
,,
1.23351E+18,2/28/2020 22:00,"b'Differences in Maha alliance, this time over Muslim quota https://t.co/674Wlyko1p'"
,,
1.23349E+18,2/28/2020 20:30,"b'On a lighter note, SC judge who praised PM takes a dig at critics https://t.co/n641VvGjos'"
,,
1.23348E+18,2/28/2020 19:45,b'Protests can\xe2\x80\x99t infringe rights of others: SC https://t.co/01Q1Ky6QOM'
,,
1.23347E+18,2/28/2020 19:10,b'New Zealand strongly encourages India to become participant of RCEP in future: Foreign minister https://t.co/xOFw07y8ef'
,,
1.23345E+18,2/28/2020 18:00,b'Country staring at shortage of truck drivers as most disillusioned by career want a different life for kin: Study https://t.co/p0RJPF36Af'
,,
1.23345E+18,2/28/2020 18:00,b'Nationalism need not be defensive: Jaishankar https://t.co/40xEOOHK1n'
,,
1.23345E+18,2/28/2020 17:45,"b'UK govt calls CAA \xe2\x80\x98divisive\xe2\x80\x99, urges India to exercise \xe2\x80\x98restraint\xe2\x80\x99 in handling protests https://t.co/agXQhWcKFp'"
,,
1.23344E+18,2/28/2020 17:30,b'Preparing strict law to check interruption of House proceedings: LS Speaker https://t.co/SJoy8CJA5L'
,,
1.23344E+18,2/28/2020 17:15,b'President approves resumption of delimitation exercise in Assam https://t.co/xskXlBOGjh'
,,
1.23344E+18,2/28/2020 16:55,"b""Sedition case: 'Hold speedy trial', says Kanhaiya Kumar after Delhi govt gives nod for prosecution https://t.co/2ryJ4bF4ee"""
,,
1.23343E+18,2/28/2020 16:45,"b""'Karo-na virus' has plagued BJP govt's functioning as GDP numbers reflect: Congress https://t.co/DXz2ts8t0l"""
,,
1.23343E+18,2/28/2020 16:25,"b""BJP, Congress trade charges over 'rajdharma' https://t.co/Ex7WlYupA6"""
,,
1.23343E+18,2/28/2020 16:15,"b'India, France vow to deny safe havens, sources of financing to terrorists https://t.co/afWct1vEhn'"
,,
1.23342E+18,2/28/2020 15:55,b'Rebalancing of global economy in last few decades: Jaishankar https://t.co/kgpy1qGls7'
,,
1.23342E+18,2/28/2020 15:55,"b""PM Modi's 'vibrant leadership' made possible Donald Trump's standalone visit to India: JP Nadda https://t.co/PZxLkRe481"""
,,
1.23342E+18,2/28/2020 15:46,b'Eagerly looking forward to UP visit on Saturday: PM Modi https://t.co/KeKfPhsjks'
,,
1.23342E+18,2/28/2020 15:45,"b""NIA arrests Pak-based terror group JeM's operative involved in Pulwama attack: Official https://t.co/FiXglqZmAw"""
,,
1.23342E+18,2/28/2020 15:45,b'Do not drag judges into controversy: SC judge Arun Mishra https://t.co/XjdhvBnGDS'
,,
1.23341E+18,2/28/2020 15:25,b'March-May period likely to be warmer than normal: IMD https://t.co/IN8qyzgXOT'
,,
1.23341E+18,2/28/2020 14:55,"b""Rafale jets not enough for force's needs; indigenous weapons to be game changer: IAF chief https://t.co/J6S6ZzWMia"""
,,
1.23341E+18,2/28/2020 14:55,b'Kanhaiya Kumar to face trial in sedition case: All you need to know https://t.co/24ISJqqzzr'
,,
1.2334E+18,2/28/2020 14:45,"b'BJP-Congress to fight for third Rajya Sabha seat, trying to woo opponents https://t.co/7jVjGKGqIv'"
,,
1.2334E+18,2/28/2020 14:25,"b""Muslim quota is NCP-Cong's bid to put Sena in fix: Athawale https://t.co/U5gUVSQTfn"""
,,
1.2334E+18,2/28/2020 14:25,"b""Riots in Delhi during Trump's visit 'intriguing, mysterious': Kiran Bedi https://t.co/HaT0BOez2C"""
,,
1.23339E+18,2/28/2020 14:10,"b'BJP does not approve of comments of Kapil Mishra, Parvesh Verma: Ravi Shankar Prasad https://t.co/TFidrviPSs'"
,,
1.23339E+18,2/28/2020 14:00,"b""Pakistan will think 100 times before trying any future misadventure after India's Balakot airstrikes: Rajnath Singh https://t.co/pzHqgmjJLM"""
,,
1.23339E+18,2/28/2020 14:00,b'Pakistan will think 100 times before any misadventure against India: Rajnath Singh https://t.co/0zAX9aRPT1'
,,
1.23338E+18,2/28/2020 13:30,"b'Delhi violence: Opposition parties write to President, demand action against those who made hate speeches https://t.co/z26ihL1qPo'"
,,
1.23338E+18,2/28/2020 13:30,b'Law ministry to hire consultant lawyers to ensure speedy disposal of rape cases https://t.co/dtTDEUNceW'
,,
1.23338E+18,2/28/2020 13:10,"b""Delhi violence: CPM says NSA Ajit Doval's 'Jo hua so hua' remark shocking https://t.co/iZHwP6CHC1"""
,,
1.23338E+18,2/28/2020 13:10,"b'Shia cleric visits riot-hit Delhi, calls it state sponsored violence https://t.co/ifr9d0XtoF'"
,,
1.23338E+18,2/28/2020 12:56,"b'Odisha CM Naveen Patnaik hosts lunch for Amit Shah, Mamata Banerjee and Nitish Kumar https://t.co/24xJqCfDNk'"
,,
1.23338E+18,2/28/2020 12:55,b'Elgar case: Nine accused appear before NIA court in Mumbai https://t.co/ASxtRN01gh'
,,
1.23338E+18,2/28/2020 12:55,b'Maharashtra: Aurangabad Maharashtra Navnirman Sena asks people to give information on infiltrators https://t.co/JRszKYQSyM'
,,
1.23337E+18,2/28/2020 12:45,b'HAL hands over 50th set of L-40 stage of GSLV https://t.co/JM1LmQzfZ2'
,,
1.23337E+18,2/28/2020 12:45,b'Govt tells Bangladeshi student to leave India for taking part in anti-CAA protest https://t.co/iqSWL7jUBg'
,,
1.23337E+18,2/28/2020 12:30,b'Salman Khurshid urges people to stop blame game and restore peace in Delhi https://t.co/PKppeTDM5e'
,,
1.23336E+18,2/28/2020 12:10,b'Opposition inciting riots over CAA: Amit Shah https://t.co/q9v9SopDO4'
,,
1.23336E+18,2/28/2020 11:55,"b'India at UN asks Pak leadership to stop terror funding, dismantle militant camps https://t.co/qOE7UlSPiT'"
,,
1.23336E+18,2/28/2020 11:45,"b'Mamata Banerjee raises Delhi riots at EZC meet, no talks on CAA, NRC https://t.co/ePr0ah54SX'"
,,
1.23336E+18,2/28/2020 11:45,b'No decision taken yet on Muslim quota in Maharashtra: Eknath Shinde contradicts Nawab Malik https://t.co/bTR37DwoY2'
,,
1.23335E+18,2/28/2020 11:30,b'CBI books GST assistant commissioner Deepak Pandit on corruption charges https://t.co/sExRP7fC0i'
,,
1.23335E+18,2/28/2020 11:15,"b'Modi govt committed to individual, judicial and media freedom: Law Minister https://t.co/9SL3t7GJFj'"
,,
1.23335E+18,2/28/2020 11:00,"b""Indira, Manmohan's 'Raj dharma' was of equality, harmony; BJP has divisive mindset: Congress https://t.co/udGWMyYcSR"""
,,
1.23334E+18,2/28/2020 10:45,b'Maharashtra govt to make law to give 5% reservation to Muslims in education: Nawab Malik https://t.co/8q0qWxejuF'
,,
1.23334E+18,2/28/2020 10:45,b'Gautampuri sets example of love and unity in time of NE Delhi violence https://t.co/YsURoE3hNl'
,,
1.23333E+18,2/28/2020 10:00,"b'BJP received Rs 742 crore in donations in 2018-19, Congress Rs 148 crore: ADR https://t.co/8hJr1FtnIv'"
,,
1.23332E+18,2/28/2020 9:10,"b""Please don't preach us 'rajdharma'; your record is full of twists and turns: BJP to Sonia Gandhi https://t.co/jAauSIFk43"""
,,
1.2333E+18,2/28/2020 7:55,"b""Delhi violence: US urges India to 'protect and respect' right to peaceful assembly https://t.co/KefC07lj0Q"""
,,
1.23329E+18,2/28/2020 7:30,"b""Kapil Sibal takes a dig at PM Modi, thanks him for 'speedy response' during Delhi violence https://t.co/J3iQWUiu8F"""
,,
1.23329E+18,2/28/2020 7:30,"b'Hate Speech: HC seeks Centre, Delhi govt response on plea for FIR against Gandhis https://t.co/W7th0iNvXM'"
,,
1.23329E+18,2/28/2020 7:10,"b""Tahir Hussain, AAP councillor booked for IB officer's murder during Delhi violence https://t.co/eGwmz0iCAo"""
,,
1.23329E+18,2/28/2020 7:10,"b'CBIvsCBI: There was clinching evidence against Rakesh Asthana, ex-investigating officer https://t.co/7Kq9TbQUm2'"
,,
1.23328E+18,2/28/2020 6:55,b'Study reveals 50% truck drivers admit driving in even when fatigued or sleepy https://t.co/ECBq9Mf9ZI'
,,
1.23327E+18,2/28/2020 6:10,"b'Govt took tough, bold decision, IAF successfully struck terror target: Air chief on Balakot airstrike https://t.co/vhonNaW2Sk'"
,,
1.23327E+18,2/28/2020 6:01,"b""Message of Balakot clear that proxy war on our people won't be tolerated: CDS Rawat https://t.co/XV8XiAkLYz"""
,,
1.23327E+18,2/28/2020 6:00,"b""SC holds as illegal lawyers' strike on every Saturday in 3 Uttarakhand districts https://t.co/Z5f2abyYPR"""
,,
1.23327E+18,2/28/2020 6:00,b'Amit Shah was nowhere to be seen when violence hit Delhi: Shiv Sena https://t.co/I4rQIqsH9Z'
,,
1.23326E+18,2/28/2020 5:30,b'Balakot airstrikes sent out clear message on terrorism: Rajnath Singh https://t.co/xUvFeKXIm7'
,,
1.23325E+18,2/28/2020 4:45,b'Spirit of Mahatma Gandhi needed more than ever: UN Secretary General on Delhi violence https://t.co/I2A4A65Ybs'
,,
1.23325E+18,2/28/2020 4:45,b'PM hails talent of Indian scientists on National Science Day https://t.co/16IGCBMi3A'
,,
1.23324E+18,2/28/2020 3:55,b'Coronavirus spread puts densely populated India on high alert https://t.co/9YFUVvgWJR'
,,
1.23324E+18,2/28/2020 3:55,"b""Trump's trip demonstrates value US places on ties with India: Pompeo https://t.co/EH2JiuTRlW"""
,,
1.23324E+18,2/28/2020 3:45,b'Delhi violence: Latest updates https://t.co/EJMzyRrQuk'
,,
1.23323E+18,2/28/2020 3:25,"b'US spy agencies monitor coronavirus spread, concerns about India: Sources https://t.co/arh78Zi9cR'"
,,
1.23322E+18,2/28/2020 2:45,"b""John Tenniel's 200th birth anniversary: Google dedicates doodle to Alice in Wonderland's illustrator https://t.co/CTeRqyBB2S"""
,,
1.23321E+18,2/28/2020 2:00,b'Cops ignored my calls for help: SAD MP https://t.co/zlAguXUQPQ'
,,
1.23321E+18,2/28/2020 1:45,"b'Report flags pot cultivation, its impact on kids https://t.co/SR3u9FLrTU'"
,,
1.23321E+18,2/28/2020 1:44,"b'UN rights chief slams India, foreign ministry hits back https://t.co/XIVn9dYZHz'"
,,
1.23321E+18,2/28/2020 1:43,b'Savarkar was a person of unmatched traits: Amit Shah https://t.co/XnPUTEhVBL'
,,
1.23321E+18,2/28/2020 1:43,"b'Corona scare, ignorance are fuelling social tensions https://t.co/fJnUSdnrg0'"
,,
1.23321E+18,2/28/2020 1:42,"b'Pro-CAA Shah rally in Odisha today, first since Delhi riots https://t.co/8Ctb5AZbED'"
,,
1.23321E+18,2/28/2020 1:42,"b'An insult to martyrs, says Ahmed Patel https://t.co/1XhPR4XbgN'"
,,
1.23321E+18,2/28/2020 1:41,"b""Women's AutHer Awards 2020 long lists announced https://t.co/vVQjiHk6oK"""
,,
1.23321E+18,2/28/2020 1:41,"b'Opposition netas\xe2\x80\x99 hate speeches led to Delhi riots, says BJP https://t.co/SXSxjSU4TC'"
,,
1.23321E+18,2/28/2020 1:40,b'India\xe2\x80\x99s Trump hug pushes Dems away https://t.co/ijbyX3cLPC'
,,
1.23318E+18,2/27/2020 23:55,"b'Congress team meets President Kovind, urges him to sack Amit Shah https://t.co/ir7zTmzC2d'"
,,
1.23317E+18,2/27/2020 23:25,b'Judge loses job for \xe2\x80\x98sexist\xe2\x80\x99 language during lecture https://t.co/q50pIyM9Cb'
,,
1.23317E+18,2/27/2020 23:15,b'Corona: Saudi suspends Umrah pilgrim visas https://t.co/MTmR4tAYWH'
,,
1.23316E+18,2/27/2020 22:45,b'India evacuates 195 desis from China and Japan https://t.co/8wiNZL8HJ7'
,,
1.23315E+18,2/27/2020 22:00,b'Jaish case accused gets bail as NIA fails to file chargesheet https://t.co/FGPPGDwWU6'
,,
1.23314E+18,2/27/2020 21:40,b'Bihar now passes resolution seeking caste-based Census https://t.co/QDTXlCPj0u'
,,
1.23314E+18,2/27/2020 21:15,"b'Delhi violence: Govt slams US body, OIC for \xe2\x80\x98misleading\xe2\x80\x99 comments https://t.co/6NOZlJV09I'"
,,
